date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:54	334/334	---M--	200	added ('OK')	text/plain	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/robots.txt		(from )
10:31:54	54909/54909	U-----	200	untouched ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/index.html	(from )
10:31:55	5481/5481	---MC-	200	added ('OK')	text/css	date:Tue,%2030%20Dec%202014%2016:31:56%20GMT	http://fonts.googleapis.com/css?family=Fredericka+the+Great|Allura|Amatic+SC|Arizonia|Averia+Sans+Libre|Cabin+Sketch|Francois+One|Jacques+Francois+Shadow|Josefin+Slab|Kaushan+Script|Love+Ya+Like+A+Sister|Merriweather|Offside|Open+Sans|Open+Sans+Condensed|Oswald|Over+the+Rainbow|Pacifico|Romanesco|Sacramento|Seaweed+Script|Special+Elite	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/fonts.googleapis.com/cssa88e.css	(from http://www.consciousminds.org/)
10:31:55	54909/54909	U-----	200	untouched ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/home.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/home.html	(from http://www.consciousminds.org/)
10:31:55	255/255	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Dec%202014%2016:31:57%20GMT	http://fonts.googleapis.com/css?family=Gochi+Hand	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/fonts.googleapis.com/cssf43a.css	(from http://www.consciousminds.org/)
10:31:55	12269/12269	---M-Z	200	added ('OK')	image/jpeg	etag:fd03d3fdf03e5a58b925fee2ec89e2a2	http://nebula.wsimg.com/8f0e17c97236981cab8925cc7cf924cb?AccessKeyId=34A6B105191E6200F0FD&disposition=0&alloworigin=1	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/nebula.wsimg.com/8f0e17c97236981cab8925cc7cf924cb985f.jpg	(from http://www.consciousminds.org/)
10:31:55	30350/30350	U-----	200	untouched ('OK')	text/css	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/site.css?v=494982981	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/site95b5.css	(from http://www.consciousminds.org/)
10:31:56	41007/41007	U-----	200	untouched ('OK')	application/x-javascript	etag:%22b2c8bae6d3bbce1:0%22	http://img4.wsimg.com/starfield/duel/v2.5.7/duel.js?appid=O3BkA5J1	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/img4.wsimg.com/starfield/duel/v2.5.7/duel35bd.js	(from http://www.consciousminds.org/)
10:31:56	12071/12071	---M-Z	200	added ('OK')	image/jpeg	etag:2873b109e843d67b20669acf6f55d6d3	http://nebula.wsimg.com/1830384228ae664816c525deb9d09afb?AccessKeyId=34A6B105191E6200F0FD&disposition=0&alloworigin=1	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/nebula.wsimg.com/1830384228ae664816c525deb9d09afb985f.jpg	(from http://www.consciousminds.org/)
10:31:56	12961/12961	---M-Z	200	added ('OK')	image/jpeg	etag:aaaaabd458cd4df55ab254a3828f3621	http://nebula.wsimg.com/67c9634d7b474b01a9bef69202713850?AccessKeyId=34A6B105191E6200F0FD&disposition=0&alloworigin=1	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/nebula.wsimg.com/67c9634d7b474b01a9bef69202713850985f.jpg	(from http://www.consciousminds.org/)
10:31:57	10918/10918	---M-Z	200	added ('OK')	image/jpeg	etag:0a5384f626257675ba9ebddaf787496d	http://nebula.wsimg.com/3b3e74ac0725e44a9399e293c3b425ff?AccessKeyId=34A6B105191E6200F0FD&disposition=0&alloworigin=1	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/nebula.wsimg.com/3b3e74ac0725e44a9399e293c3b425ff985f.jpg	(from http://www.consciousminds.org/)
10:32:00	37687/37687	---M-Z	200	added ('OK')	image/png	etag:ec11f73c0ed9adec575434607af26f24	http://nebula.wsimg.com/e69486ece2fbc3fb8705fdb193e4415e?AccessKeyId=34A6B105191E6200F0FD&disposition=0&alloworigin=1	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/nebula.wsimg.com/e69486ece2fbc3fb8705fdb193e4415e985f.png	(from http://www.consciousminds.org/)
10:32:00	3592/3592	U-----	200	untouched ('')	image/gif	date:Wed,%2005%20Nov%202014%2020:48:56%20GMT	https://www.paypalobjects.com/en_US/i/btn/btn_donateCC_LG.gif	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.paypalobjects.com/en_US/i/btn/btn_donateCC_LG.gif	(from http://www.consciousminds.org/)
10:32:00	43/43	U-----	200	untouched ('')	image/gif	date:Wed,%2005%20Nov%202014%2020:48:57%20GMT	https://www.paypalobjects.com/en_US/i/scr/pixel.gif	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.paypalobjects.com/en_US/i/scr/pixel.gif	(from http://www.consciousminds.org/)
10:32:01	75304/75304	U-----	200	untouched ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/about-us.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/about-us.html	(from http://www.consciousminds.org/)
10:32:01	62782/62782	U-----	200	untouched ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/earth-native-sanctuary.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/earth-native-sanctuary.html	(from http://www.consciousminds.org/)
10:32:01	62137/62137	U-----	200	untouched ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/our-services.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/our-services.html	(from http://www.consciousminds.org/)
10:32:02	61206/61206	U-----	200	untouched ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/elite-wellness-coaching.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/elite-wellness-coaching.html	(from http://www.consciousminds.org/)
10:32:02	53934/53934	U-----	200	untouched ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/sacred-healing-chamber.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/sacred-healing-chamber.html	(from http://www.consciousminds.org/)
10:32:04	6639/6639	---M-Z	200	added ('OK')	image/png	etag:da59a626ce5684b7acf0c43a9f89f862	http://nebula.wsimg.com/779345136140a7fe8e8442189964fc52?AccessKeyId=34A6B105191E6200F0FD&disposition=0&alloworigin=1	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/nebula.wsimg.com/779345136140a7fe8e8442189964fc52985f.png	(from http://www.consciousminds.org/)
