date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:51:56	0/-1	U--M--	302	error ('Found')	text/html		http://www.consciousminds.org/robots.txt		(from )
09:51:56	54909/54909	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/index.html	(from )
09:51:57	41007/41007	U-----	200	untouched ('OK')	application/x-javascript	etag:%22b2c8bae6d3bbce1:0%22	http://img4.wsimg.com/starfield/duel/v2.5.7/duel.js?appid=O3BkA5J1	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/img4.wsimg.com/starfield/duel/v2.5.7/duel35bd.js	(from http://www.consciousminds.org/)
09:51:57	30350/30350	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/site.css?v=494982981	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/site95b5.css	(from http://www.consciousminds.org/)
09:51:58	54909/54909	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/home.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/home.html	(from http://www.consciousminds.org/)
09:51:58	75304/75304	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/about-us.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/about-us.html	(from http://www.consciousminds.org/)
09:51:59	62782/62782	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/earth-native-sanctuary.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/earth-native-sanctuary.html	(from http://www.consciousminds.org/)
09:51:59	62137/62137	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/our-services.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/our-services.html	(from http://www.consciousminds.org/)
09:52:00	61206/61206	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/elite-wellness-coaching.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/elite-wellness-coaching.html	(from http://www.consciousminds.org/)
09:52:01	53934/53934	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/sacred-healing-chamber.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/sacred-healing-chamber.html	(from http://www.consciousminds.org/)
09:52:01	45165/45165	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/advanced-event-production.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/advanced-event-production.html	(from http://www.consciousminds.org/)
09:52:02	43720/43720	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/harmonic-sound-studio.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/harmonic-sound-studio.html	(from http://www.consciousminds.org/)
09:52:02	51749/51749	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2029%20Dec%202014%2004:54:30%20GMT	http://www.consciousminds.org/products.html	C:/Users/arthur.vanderbilt/DropBox/My%20Web%20Sites/Conscious%20Minds/www.consciousminds.org/products.html	(from http://www.consciousminds.org/)
